FLIGHT_ID,P64: Duration of Takeoff (Seconds),HEAD_WIND,MSL_ALT,MACH_NUMBER_START_EVENT,DRAG,LIFT,FUEL_QUANTITY,FUELFLOW_START_EVENT,N1,THRUST_START_EVENT,P64  Wind Speed at Start of Event (library) (knots),P64  Wind Direction (true) at Start of Event (library) (degrees),P64  Mean Longitudinal Acceleration over succeeding interval from Start of Event (g's),P64  Mean Vertical (body normal) Acceleration over succeeding interval from Start of Event (g's),P64  Longitudinal Acceleration at Start of Event (g's),P64  Vertical (body normal) Acceleration at Start of Event (library) (g's),P64  Mean Normal-Load Factor over succeeding interval from Start of Event (g's),P64  Drag (expected clean configuration) at Start of Event (lbs),P64  Lift Expected at Start of Event (lbs),P64  Gross Weight at Start of Event (library) (kg),P64  Corrected MSL Altitude at Start of Event (library) (feet),P64  Pressure Altitude (above MSL) at Start of Event (library) (feet),P64  GPS Altitude (above MSL) at Start of Event (library) (feet),P64  Density Altitude at Start of Event (ft),P64  Geometric Altitude (above MSL) at Start of Event (library) (feet),P64  Radio Altitude at Start of Event (ft),P64  Height AGL at Start of Event (feet),P64  Height AGL at Start of Event (library) (feet),P64  Height Above Takeoff (best estimate library) at Start of Event (feet),P64  Height AFE at Start of Event (library) (feet),P64  Flap Position at Start of Event (library) (deg+   TED),P64  Slat Position at Start of Event (library) (deg+   LED),P64  Slats Retracted (boolean) at Start of Event (library) (0   retracted),P64  Spoiler Position Average (all spoilers; +  TEU) at Start of Event (degrees),P64  Spoiler Position Average (left; +  TEU) at Start of Event (deg+ TEU),P64  Spoiler Position Average (right; +  TEU) at Start of Event (deg+ TEU),P64  Elevator Position at Start of Event (deg+ TEU),AIRPORT,AIRCRAFT_TYPE,RUNWAY,STAGE,PREDICTED_DISTANCE_FROM_RUNWAY_END,ERROR,ABSOLUTE_ERROR,DISTANCE_FROM_RUNWAY_END
1129539,51.625,-15.489168,1413.375,0.240312,33421.95703,516905.1875,78441.6875,20353.59375,94.859375,484699.5,15.53125,339.08194,0.246875,0.057617,0.248047,0.076172,0.987413,33421.95703,516905.1875,250556.5781,1400.845825,1375.0,1413.375,916.11145,1388.07666,0.875,0.8757,0.8757,0.559578,0.559578,22.25,23.75,1.0,0.124512,0.117188,0.131836,12.700192,KMIA,A340,16,6,7430.4927,10.016739009197734,827.1461272187498,8257.638803
1026300,30.125,-6.765057,1406.25,0.23188,9774.441406,146248.4531,5864.928711,7315.378418,85.9375,161656.0313,7.280784,76.728493,0.302734,0.189453,0.304688,0.179688,1.150608,9774.441406,146248.4531,60672.51953,1428.363159,1206.0,1406.25,3.526932,1412.707642,12.0,12.0,14.011925,11.600407,11.600407,14.919977,22.004751,1.0,0.0,0.0,0.0,6.28418,LSGG,A319/20/21,28,1,4899.351,1.8963582234984868,94.70519678125038,4994.056271
1017425,38.125,10.923854,59.125,0.244528,24932.46094,496852.7188,49967.75,19457.29883,83.0625,447806.4063,11.0,204.257813,0.282013,0.135734,0.287091,0.087885,1.082396,24932.46094,496852.7188,209759.3125,28.2423,199.0,59.125,-511.800385,14.270624,3.125,3.121837,3.121837,5.412344,5.412344,14.25,20.75,1.0,0.254884,0.175782,0.158204,7.866244,LSGG,A330,22R,5,6485.1445,7.328326857890277,512.8347987500001,6997.97933
1023175,27.375,-2.687828,1412.25,0.21452,8853.438477,125436.3359,6951.511719,7268.206055,86.375,155272.6719,2.906064,118.564423,0.316211,0.128906,0.322266,0.111328,1.140191,8853.438477,125436.3359,58785.57422,1427.339111,1170.0,1412.25,812.661743,1407.100708,4.5,4.5,4.494351,7.870041,7.870041,14.911794,22.0012,1.0,0.0,0.0,0.0,7.163086,LEMD,A319/20/21,28,2,4684.593,16.863881146731433,676.0036974374998,4008.589076
1129449,39.0,-2.87839,135.875,0.231165,26664.06836,422357.6563,46157.5625,19689.53516,87.203125,446959.4375,3.0,47.900379,0.256641,0.098633,0.261719,0.025391,1.053819,26664.06836,422357.6563,200596.7031,126.528694,-20.0,135.875,-210.640244,101.60704,0.5,2.001764,2.001764,-1e-06,-1e-06,14.25,20.75,1.0,0.140625,0.123047,0.158203,4.833985,LSZH,A330,24R,5,5891.99,2.509087138995294,151.63994762499988,6043.630182
1011161,44.375,-5.899475,1410.875,0.254944,29524.35938,529204.875,55047.98438,20995.88281,85.65625,468101.2813,6.0,324.140625,0.341775,0.1953,0.33201,0.173817,1.17831,29524.35938,529204.875,219230.3281,1402.712646,1013.0,1410.875,132.874619,1398.570801,2.125,8.001365,8.001365,1.918201,1.918201,14.25,20.75,1.0,0.254884,0.175782,0.158204,10.327192,KJFK,A330,16,5,7384.159,2.0410144503867067,153.85189531250035,7538.011075
1107649,46.625,-5.879261,1429.125,0.262632,25890.1543,501489.1875,57878.40234,22051.8457,88.078125,470857.7188,6.0,346.640625,0.282794,0.150381,0.279279,0.166005,1.075886,25890.1543,501489.1875,226451.5156,1401.182617,1247.0,1429.125,1265.782104,1387.655151,1.75,1.748863,1.748863,1.169264,1.169264,14.25,20.75,1.0,0.254884,0.175782,0.158204,8.393591,KJFK,A330,16,5,8132.1265,0.2989666662087337,24.38525115624998,8156.511716
1135712,49.75,0.901862,54.75,0.23064,31145.62109,512452.625,66105.80469,18856.73828,92.296875,401253.625,3.1875,160.839798,0.247266,0.073242,0.248047,0.074219,1.040799,31145.62109,512452.625,239037.3594,21.126158,-125.0,54.75,1255.623901,9.046659,0.0,0.0,0.0,0.529195,0.529195,22.25,23.75,1.0,0.19043,0.205078,0.175781,12.480466,LSZH,A340,08R,6,6330.147,12.055915976427272,867.7754833437502,7197.922456
1134921,35.625,-10.00156,153.0,0.204435,24933.27734,367497.1875,27868.7168,18118.28906,86.328125,399848.4688,10.59375,282.304626,0.342578,0.128906,0.322266,0.101563,1.083767,24933.27734,367497.1875,176937.3281,128.482452,14.0,153.0,596.546936,117.165627,0.0,0.0,0.0,1.802169,1.802169,14.25,20.75,1.0,0.149414,0.158203,0.140625,12.128907,LSZH,A330,12,4,5181.122,0.6756902491477338,34.77337631249975,5146.348694
1137655,43.25,-2.247456,1423.375,0.260648,28594.66211,549928.875,67204.26563,22552.61328,87.46875,491289.7188,0.0,0.0,0.30623,0.11718,0.302715,0.080073,1.125362,28594.66211,549928.875,230207.2656,1402.620972,1012.0,1423.375,253.783585,1393.659912,3.875,9.748124,9.748124,1.52734,1.52734,14.25,20.75,1.0,0.254884,0.175782,0.158204,8.569372,KMIA,A330,16,6,7400.4126,0.9632104122580041,70.60150365625032,7329.811094
1148008,56.25,-19.485842,1441.25,0.251968,34578.21484,552442.4375,88092.70313,20184.85742,95.148438,479123.9375,19.84375,324.052643,0.258984,0.091797,0.263672,0.076172,1.049479,34578.21484,552442.4375,257250.4219,1400.044434,1466.0,1441.25,1238.87439,1390.022705,2.75,2.749019,2.749019,0.743443,0.743443,22.25,23.75,1.0,0.146484,0.161133,0.131836,11.733396,KLAX,A340,16,7,8254.756,17.535581043868543,1755.3260206249997,10010.08188
1153990,41.0,-0.451912,1410.75,0.263128,27759.93359,505806.4375,58223.13281,21812.34961,87.1875,498132.0,0.5,0.0,0.308574,0.141593,0.304668,0.140616,1.067206,27759.93359,505806.4375,226723.6719,1401.638184,1540.0,1410.75,326.544952,1389.205811,0.125,0.124929,0.124929,-2e-06,-2e-06,14.25,20.75,1.0,0.254884,0.175782,0.158204,8.437536,VABB,A330,16,6,7003.612,2.0526605237329973,140.8688164062496,6862.743
1014580,52.375,-8.68444,1433.375,0.23312,31729.47266,493596.25,61606.83984,16648.65234,88.640625,406940.625,8.9375,349.277252,0.259375,0.068359,0.265625,0.046875,1.062066,31729.47266,493596.25,223418.3906,1401.055542,1283.0,1433.375,1546.127319,1391.476685,2.0,6.125331,6.125331,1.041214,1.041214,22.25,23.75,1.0,0.19043,0.219727,0.161133,10.898435,KBOS,A340,16,5,6621.9517,18.650679389065576,1518.1921178437497,8140.143778
1106637,42.125,-5.260849,701.5,0.243536,26173.20313,511361.3438,53578.34375,21946.61328,87.34375,435272.875,6.0,118.828125,0.329276,0.140616,0.322245,0.085932,1.154874,26173.20313,511361.3438,215982.5938,680.026733,663.0,701.5,1624.360962,663.05658,3.0,2.996175,2.996175,8.062823,8.062823,14.25,20.75,1.0,0.254884,0.175782,0.158204,7.91019,LSZH,A330,28,6,7084.8306,2.884490047300312,210.43109659375023,7295.261663
1022612,39.625,-0.428865,58.75,0.243288,26296.96094,496211.0,47101.04297,19479.07031,83.0,434338.125,0.5,0.0,0.303106,0.145498,0.296856,0.134757,1.10236,26296.96094,496211.0,212499.0156,28.677645,-45.0,58.75,-632.403809,13.415186,1.125,1.123846,1.123846,5.558033,5.558033,14.25,20.75,1.0,0.254884,0.175782,0.158204,7.998081,LSGG,A330,22R,5,6878.583,10.397160611320478,798.1636831875003,7676.746691
